# X-coordinate(cm) Y-coordinate(cm) Count
22.0577 9.66667 6247
37.3575 11.8333 4248
51.2139 9.83333 6750
87.8756 9.66667 3500
89.6077 9.66667 2500
4.15986 14.6667 3499
32.7377 15.8351 5730
50.3479 15.3333 8497
79.2154 9.66667 7998
33.316 3.16667 6537
95.9585 4.66667 3747
56.4101 8.83333 8496
92.1702 0.293581 6305
88.1592 0.294091 3480
22.3464 6.16667 6750
32.7371 16.1694 5778
54.3893 4.66667 6246
35.0481 5.83333 4998
6.46929 14.3333 4248
39.6669 14.1667 7250
33.0274 9.33333 8748
72.8645 10.3333 6249
10.7994 14.8333 6747
70.5551 15.3333 5747
38.5122 6.83333 7498
59.8742 4.83333 7776
78.0607 10.3333 6998
84.4115 9.66667 2996
5.31456 9.66667 4000
40.2443 17.1665 5917
59.2968 12.8333 5997
5.31456 8.66667 3000
71.1325 5.33333 8738
84.9996 14.3473 4290
42.265 8.66667 6497
15.7069 12.3333 3248
87.8866 15.3145 5936
18.3049 15.8335 4997
14.2635 14.1667 6249
20.903 13.3333 4249
35.6254 9.83333 7246
44.2857 9.83333 8999
65.0703 9.83333 8249
43.997 14.6667 5497
38.5067 2.17475 5408
38.2235 3.33333 6800
3.29383 10.8333 3000
55.3319 18.2899 5681
48.9045 12.8333 9998
66.7879 17.782 4944
83.5455 3.16667 5282
95.0925 4.16667 1750
23.2124 7.66667 4500
50.6366 12.1667 5246
84.7002 6.16667 3999
56.4101 5.83333 5997
18.5936 11.6667 5497
43.4197 8.33333 7246
58.4308 16.3333 8479
38.8009 13.6667 5499
37.3575 10.8333 5249
27.5425 8.16667 6000
5.31456 9.33333 4500
93.3605 5.16667 4248
43.7083 4.16667 7247
54.9667 5.33333 6747
15.4182 6.83336 2999
16.2842 11.3333 4747
16.8626 5.33586 5006
13.6861 13.8333 4500
63.6186 17.3098 5830
36.2028 3.16667 6740
46.0177 14.8333 7747
88.1683 15.16 3712
60.7402 16.3333 6733
34.1821 14.6667 7498
52.946 13.8333 7502
33.3232 2.17262 7515
21.4804 7.66667 5249
49.7705 17.3333 6945
44.2857 6.83333 6750
43.7083 3.16667 7043
34.4707 5.16667 5999
50.6366 2.83333 5640
43.943 1.6714 7643
71.4212 15.8333 6997
19.4596 14.1667 6998
24.6558 9.16667 5748
6.46926 8.66667 4750
65.3647 17.6513 7689
48.9045 5.16667 8747
93.0718 5.33333 4248
55.1667 19.7115 6661
32.45 12.6667 7000
43.7083 7.16667 8497
78.3494 13.8333 6497
26.9652 11.8333 9249
58.1421 10.8333 7248
63.3383 11.8333 4998
23.7898 12.6667 6498
42.8423 14.6667 7749
80.0814 5.83333 5499
73.7306 9.83333 6247
5.60323 9.83333 4497
5.89191 8.33333 5000
87.8756 3.66667 5227
82.1029 14.6653 4021
5.31456 14.3333 4000
59.0081 8.33333 4250
46.321 18.3284 5314
57.5648 8.16667 7750
50.6366 8.16667 7497
61.3177 5.66688 5752
76.6173 14.8333 6250
9.93336 8.66667 4498
35.9141 10.3333 8500
69.4004 4.33333 5246
36.7801 13.1667 5998
85.5699 17.1 7131
3.87118 11.1667 2500
92.2058 10.1667 2997
12.5314 12.1667 4997
93.9376 3.1671 3467
78.3494 8.16667 7000
75.7513 5.33333 6247
15.7069 11.3333 6999
18.1661 1.44236 5707
72.5759 16.1667 6230
46.3064 11.6667 7499
54.9667 6.33333 8249
27.2539 9.66667 7249
24.3671 6.66667 6500
67.6736 17.3204 6249
26.9787 18.1599 6824
18.8823 11.8333 6250
4.15986 15.3333 3498
61.0219 17.8025 6812
82.9682 13.1666 5748
24.9445 12.3333 4998
6.18058 9.16667 3997
22.3608 3.86463 5037
31.8728 14.3331 7250
81.2361 4.16667 5251
19.7483 13.3333 4498
26.9652 11.1667 8000
29.5633 10.6667 5750
74.0192 10.3333 8247
38.5118 17.825 3472
48.6047 2.28123 4334
54.9667 3.66667 5929
4.73721 8.33333 2749
23.7898 5.33333 6498
66.8024 8.83333 6498
38.8009 6.66667 7248
34.4641 2.17821 5044
78.0607 8.33333 7747
29.2746 12.1667 6747
83.3365 18.3308 4676
35.0481 12.8333 9249
60.1628 12.3333 9248
85.8549 4.83333 7497
57.5648 10.1667 5997
87.8783 14.6625 4018
74.0192 3.66667 5945
49.4819 15.8333 7248
5.60326 16.1666 3267
25.8105 12.1667 4248
65.9617 18.2789 6452
51.4705 18.3285 7059
76.3286 10.3333 4747
57.5648 6.83333 7750
70.5551 10.3333 8248
23.7898 7.66667 6247
71.9316 17.9202 8549
60.1628 4.66667 8387
13.3975 10.3333 5000
18.305 6.83367 5749
9.93336 14.6667 5499
20.3257 13.6667 3748
74.0192 4.66667 6996
45.7291 15.6667 8500
35.6254 2.83333 8452
60.4515 5.16667 8761
5.89199 15.3332 2748
61.0289 15.1667 6498
48.0385 4.66667 7499
66.5137 14.6667 4750
31.8727 6.66667 7999
54.1006 4.16444 8266
50.6366 6.16667 6997
19.1557 1.44107 5413
37.6463 15.3331 5497
53.6822 17.1585 7280
50.6366 13.1667 8000
78.0607 7.33333 5248
90.4737 10.1667 3997
23.2124 12.6667 6496
18.8231 1.44068 5691
21.7682 16.8318 2006
72.8645 6.33333 7999
15.7069 13.3333 5500
41.6905 17.3205 7704
26.6765 8.66667 5998
48.0398 16.6643 7908
61.6062 14.8333 7998
82.6795 9.66667 5749
5.02588 10.1667 2749
71.1325 12.6667 5749
66.8003 18.0956 5245
67.6665 17.6311 5021
68.5368 17.1607 7548
76.2889 18.6651 5863
96.822 1.81655 2914
45.684 2.31099 6507
58.7689 1.8428 7240
63.3383 7.83334 6499
25.8105 11.8333 6496
33.6047 12.3333 4746
69.1113 1.85009 6447
43.0923 1.83998 6967
47.7498 6.16667 6250
44.863 7.83333 9497
37.3575 5.16667 8247
72.8227 17.6956 8840
36.5113 17.6978 9565
73.7306 14.1667 6999
96.8246 4.83333 3497
91.9145 16.6622 4751
88.1692 2.84179 3620
48.3272 2.83333 6993
